"id1"|"id2"|"line"|"cor"|"lag"
"CU-S0002"|"CU-S0003"|"LINESTRING( 100.7222 18.1609 , 100.8295 19.16998 )"|0.500673102293414|-2
"CU-S0002"|"CU-S0004"|"LINESTRING( 100.7222 18.1609 , 100.7206 18.77298 )"|0.635608162415762|-3
"CU-S0002"|"CU-S0005"|"LINESTRING( 100.7222 18.1609 , 100.8069 19.07142 )"|0.482741495080012|-3
"CU-S0002"|"CU-S0006"|"LINESTRING( 100.7222 18.1609 , 100.8951 19.3362 )"|0.487110938351484|-3
"CU-S0002"|"CU-S0008"|"LINESTRING( 100.6708 19.4334 , 100.7222 18.1609 )"|0.445846641008352|15
"CU-S0002"|"CU-S0011"|"LINESTRING( 100.7222 18.1609 , 100.6029 19.38136 )"|0.606508396847902|-4
"CU-S0002"|"CU-S0013"|"LINESTRING( 100.7222 18.1609 , 100.6767 19.325 )"|0.33803028207963|-4
"CU-S0002"|"CU-S0014"|"LINESTRING( 100.7222 18.1609 , 100.8397 19.2728 )"|0.318926440800591|-4
"CU-S0002"|"CU-S0016"|"LINESTRING( 100.7222 18.1609 , 101.1579 19.1492 )"|0.633900522851789|-2
"CU-S0002"|"CU-S0017"|"LINESTRING( 100.7222 18.1609 , 100.8615 19.2876 )"|0.278207323991603|-3
"CU-S0002"|"CU-S0018"|"LINESTRING( 100.7222 18.1609 , 101.1542 19.48445 )"|0.530269108496701|-1
"CU-S0002"|"CU-S0021"|"LINESTRING( 100.7222 18.1609 , 100.8814 19.4075 )"|0.421006421340623|-3
"CU-S0002"|"CU-S0022"|"LINESTRING( 100.7222 18.1609 , 100.8093 19.09438 )"|0.531525061957116|-2
"CU-S0002"|"CU-S0024"|"LINESTRING( 100.7222 18.1609 , 100.879961 19.422108 )"|0.464220592935414|-5
"CU-S0002"|"CU-S0025"|"LINESTRING( 100.7222 18.1609 , 100.9256 19.51838 )"|0.382012132705365|-3
"CU-S0002"|"CU-S0028"|"LINESTRING( 100.7222 18.1609 , 100.5485 18.70508 )"|0.921145144757507|-1
"CU-S0002"|"CU-S0030"|"LINESTRING( 100.7222 18.1609 , 100.7681 18.64616 )"|0.58814528807472|-2
"CU-S0002"|"CU-S0032"|"LINESTRING( 100.7222 18.1609 , 100.7511 18.57093 )"|0.925797637471971|-1
"CU-S0002"|"CU-S0034"|"LINESTRING( 100.7222 18.1609 , 100.7777 19.17886 )"|0.381279688547834|-3
"CU-S0002"|"CU-S0035"|"LINESTRING( 100.7222 18.1609 , 101.00866 18.71684 )"|0.835075256491438|-2
"CU-S0002"|"CU-S0040"|"LINESTRING( 100.7222 18.1609 , 100.8353 18.6264 )"|0.74629630320748|-2
"CU-S0002"|"CU-S0042"|"LINESTRING( 100.7222 18.1609 , 100.8967 19.0892 )"|0.656723078640979|-3
"CU-S0002"|"CU-S0045"|"LINESTRING( 100.7222 18.1609 , 100.7825 18.57299 )"|0.871302116035016|0
"CU-S0002"|"CU-S0046"|"LINESTRING( 100.7222 18.1609 , 101.0116 18.74491 )"|0.910718561995667|-2
"CU-S0002"|"CU-S0047"|"LINESTRING( 100.7222 18.1609 , 100.8509 19.08279 )"|0.562543625709781|-2
"CU-S0002"|"CU-S0050"|"LINESTRING( 100.7222 18.1609 , 100.5104 18.58357 )"|1|0
"CU-S0002"|"CU-S0051"|"LINESTRING( 100.7222 18.1609 , 100.4546 18.81509 )"|1|-1
"CU-S0002"|"CU-S0052"|"LINESTRING( 100.7222 18.1609 , 101.2006 19.01033 )"|0.578286353039098|-2
"CU-S0002"|"CU-S0053"|"LINESTRING( 100.7222 18.1609 , 100.7662 19.18156 )"|0.404775468531802|-3
"CU-S0002"|"CU-S0054"|"LINESTRING( 100.7222 18.1609 , 100.9467 19.14978 )"|0.829206135714111|-2
"CU-S0002"|"CU-S0056"|"LINESTRING( 100.7222 18.1609 , 100.7184 18.5806 )"|0.958787267681524|-1
"CU-S0002"|"CU-S0059"|"LINESTRING( 100.7222 18.1609 , 101.0118 18.6442 )"|0.675970335284374|-1
"CU-S0002"|"CU-S0060"|"LINESTRING( 100.7222 18.1609 , 100.8003 19.10479 )"|0.454728396728514|-2
"CU-S0002"|"CU-S0070"|"LINESTRING( 100.7222 18.1609 , 100.4356 18.85143 )"|1|-1
"CU-S0002"|"CU-S0071"|"LINESTRING( 100.7222 18.1609 , 100.7333 18.79966 )"|0.556625970582392|-3
"CU-S0002"|"CU-S0073"|"LINESTRING( 100.7222 18.1609 , 100.7044 18.80531 )"|0.56926279099774|-3
"CU-S0002"|"CU-S0076"|"LINESTRING( 100.7222 18.1609 , 100.7868 18.67334 )"|0.598547947830491|-2
"CU-S0002"|"CU-S0079"|"LINESTRING( 100.7222 18.1609 , 100.5944 18.3006 )"|0.985814253616195|-1
"CU-S0002"|"CU-S0081"|"LINESTRING( 100.7222 18.1609 , 100.94 18.91 )"|0.844122420593442|-2
"CU-S0002"|"CU-S0086"|"LINESTRING( 100.7222 18.1609 , 100.9201 19.21874 )"|0.665934382098155|-2
"CU-S0002"|"CU-S0090"|"LINESTRING( 100.7222 18.1609 , 100.766235 18.92332 )"|0.430931697359642|-3
"CU-S0002"|"CU-S0093"|"LINESTRING( 100.7222 18.1609 , 100.9505 18.90114 )"|0.761304552199703|-2
"CU-S0002"|"CU-S0096"|"LINESTRING( 100.7222 18.1609 , 100.9304 19.1414 )"|0.638982762395735|-4
"CU-S0002"|"CU-S0098"|"LINESTRING( 100.7222 18.1609 , 100.8248 18.73244 )"|0.666536996746883|-2
"CU-S0002"|"CU-S0101"|"LINESTRING( 100.7222 18.1609 , 100.7123 18.32593 )"|1|-2
