X,Y,sensorid,name,province,amphoe,tambol,lat,lon,Z
691113.030183183,2138556.73430695,CU-S0012,องค์การบริหารส่วนตำบลเปือ,น่าน,เชียงกลาง,เปือ,19.331900000000001,100.819200000000000,456.00000
699083.604505629,2139118.35342172,CU-S0006,องค์การบริหารส่วนตำบลพระธาตุ,น่าน,เชียงกลาง,พระธาตุ,19.336200000000002,100.895100000000000,314.00000
693336.662789149,2132037.35936935,CU-S0014,เทศบาลตำบลพระพุทธบาท,น่าน,เชียงกลาง,พระพุทธบาท,19.272800000000000,100.839699999999990,255.00000
694737.291428103,2111016.62305591,CU-S0047,องค์การบริหารส่วนตำบลจอมพระ,น่าน,ท่าวังผา,จอมพระ,19.082789999999999,100.850900000000000,248.00000
689285.39783879,2105873.01052009,CU-S0061,องค์การบริหารส่วนตำบลตาลชุม,น่าน,ท่าวังผา,ตาลชุม,19.036840000000002,100.798599999999990,220.00000
690346.04485778,2112253.81563945,CU-S0022,เทศบาลตำบลท่าวังผา,น่าน,ท่าวังผา,ท่าวังผา,19.094380000000001,100.809299999999990,236.00000
690119.700957112,2109709.71116634,CU-S0005,องค์การบริหารส่วนตำบลป่าคา,น่าน,ท่าวังผา,ป่าคาหลวง,19.071420000000000,100.806900000000000,230.00000
686925.594335428,2121570.97491204,CU-S0034,องค์การบริหารส่วนตำบลผาตอ,น่าน,ท่าวังผา,ผาตอ,19.178860000000000,100.777700000000000,296.00000
685713.035286654,2121857.5492143,CU-S0053,องค์การบริหารส่วนตำบลผาทอง,น่าน,ท่าวังผา,ผาทอง,19.181560000000001,100.766200000000000,253.00000
718387.312777728,2166302.04810374,CU-S0015,องค์การบริหารส่วนตำบลห้วยโก๋น,น่าน,เฉลิมพระเกียรติ,ห้วยโก๋น,19.579699999999999,101.081900000000000,503.00000
699549.70421162,2111777.74506823,CU-S0042,องค์การบริหารส่วนตำบลยม,น่าน,ท่าวังผา,ยม,19.089200000000002,100.896700000000000,275.00000
689387.108162744,2113396.35921715,CU-S0060,องค์การบริหารส่วนตำบลริม,น่าน,ท่าวังผา,ริม,19.104790000000001,100.800299999999990,232.00000
695610.7051501,2133700.11646627,CU-S0017,เทศบาลตำบลเชียงกลาง,น่าน,เชียงกลาง,เชียงกลาง,19.287600000000001,100.861500000000010,271.00000
688450.484566957,2108251.22839803,CU-S0029,องค์การบริหารส่วนตำบลศรีภูมิ,น่าน,ท่าวังผา,ศรีภูมิ,19.058399999999999,100.790899999999990,220.00000
726106.812712367,2155850.43928258,CU-S0018,องค์การบริหารส่วนตำบลขุนน่าน,น่าน,เฉลิมพระเกียรติ,ขุนน่าน,19.484449999999999,101.154200000000000,850.00000
687911.01479731,2116759.89863174,CU-S0043,องค์การบริหารส่วนตำบลแสนทอง,น่าน,ท่าวังผา,แสนทอง,19.135310000000000,100.786600000000010,222.00000
699104.464091173,2155364.70699544,CU-S0010,เทศบาลตำบลงอบ,น่าน,ทุ่งช้าง,งอบ,19.482939999999999,100.897000000000010,368.00000
697518.754510496,2145777.21949509,CU-S0020,องค์การบริหารส่วนตำบลทุ่งช้าง,น่าน,ทุ่งช้าง,ทุ่งช้าง,19.396500000000000,100.880900000000000,337.00000
697557.988148422,2146995.48642593,CU-S0021,เทศบาลตำบลทุ่งช้าง,น่าน,ทุ่งช้าง,ทุ่งช้าง,19.407499999999999,100.881400000000000,319.00000
697389.198529618,2148610.93596206,CU-S0024,องค์การบริหารส่วนตำบลและ,น่าน,ทุ่งช้าง,และ,19.422108000000001,100.879960999999990,337.00000
702063.09595168,2159321.43253516,CU-S0025,องค์การบริหารส่วนตำบลปอน,น่าน,ทุ่งช้าง,ปอน,19.518380000000001,100.925600000000000,352.00000
680582.692134268,2027277.498442,CU-S0077,องค์การบริหารส่วนตำบลนาน้อย,น่าน,นาน้อย,นาน้อย,18.327600000000000,100.708800000000000,278.00000
680954.391679622,2027096.13737739,CU-S0101,เทศบาลตำบลนาน้อย,น่าน,นาน้อย,นาน้อย,18.325930000000000,100.712300000000000,275.00000
672062.758258781,2035500.85395711,CU-S0026,องค์การบริหารส่วนตำบลน้ำตก,น่าน,นาน้อย,น้ำตก,18.402600000000000,100.628900000000000,440.00000
